move_name,filename,move_duration_frames,package,category,is_neutral,is_mirror,move_soma_uniform_path,move_soma_uniform_shape_path,move_soma_proportional_path,move_soma_proportional_shape_path,move_g1_path,take_name,take_actor,take_org_name,take_date,take_day_part,content_name,content_natural_desc_1,content_natural_desc_2,content_natural_desc_3,content_natural_desc_4,content_technical_description,content_short_description,content_short_description_2,content_all_rigplay_styles,content_uniform_style,content_type_of_movement,content_body_position,content_horizontal_move,content_vertical_move,content_props,content_complex_action,content_repeated_action,actor_uid,actor_height,actor_height_cm,actor_foot_cm,actor_collarbone_height_cm,actor_collarbone_span_cm,actor_elbow_span_cm,actor_wrist_span_cm,actor_shoulder_span_cm,actor_hips_height_cm,actor_hips_bones_span_cm,actor_knee_height_cm,actor_ankle_height_cm,actor_weight_kg,actor_age_yr,actor_gender,actor_profession
jog_avoid_bump_spin_270_R_005__A166,jog_avoid_bump_spin_270_R_005__A166,924,Locomotion,Advanced Locomotion,1.0,False,soma_uniform/bvh/230201/jog_avoid_bump_spin_270_R_005__A166.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/230201/jog_avoid_bump_spin_270_R_005__A166.bvh,soma_shapes/soma_proportion_fit_mhr_params/A166.npz,g1/csv/230201/jog_avoid_bump_spin_270_R_005__A166.csv,jog_avoid_bump_spin_270_R_005,A166,jog_avoid_bump_spin_270_R_005,230201,_2,jog_avoid_bump_spin_270_R,practice dodging to the right while spinning to avoid a bump when jogging,skillful dodge to the right while spinning to avoid a bump during jogging,"while jogging, person dodges a bump by spinning to their right",A person slowly jogs forward and spins their body to avoid a bump. They then come to a halt.,"avoiding bump while jogging, dodge right, spinning during dodge",avoid bump while spinning facing right,jog avoid bump spin 270,neutral,neutral,"jogging, turning",standing,1,1,0,0,0,A166,M,175,26,147,30,96,137,180,102,29,53,8,64,28,F,actor
crouch_ff_stop_225_R_002__A246,crouch_ff_stop_225_R_002__A246,1093,Locomotion,Advanced Locomotion,1.0,False,soma_uniform/bvh/230306/crouch_ff_stop_225_R_002__A246.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/230306/crouch_ff_stop_225_R_002__A246.bvh,soma_shapes/soma_proportion_fit_mhr_params/A246.npz,g1/csv/230306/crouch_ff_stop_225_R_002__A246.csv,crouch_ff_stop_225_R_002,A246,crouch_ff_stop_225_R_002,230306,_1,crouch_ff_stop_225_R,stop in a crouching position and move diagonally towards the right,"moving forward diagonally, person comes to a stop on their left foot in a crouching stance","move diagonally towards the right in a crouching position then stop, left foot leading the way",A person crouching diagonally to the right comes to a stop.,"end left foot, move forward diagonally, left foot front crossing, talent crouching, walking in crouch",stopping crouch diagonally towards the right,crouch ff stop 225,neutral,neutral,walking,crouching,1,1,0,0,0,A246,T,177,27,149,30,97,139,178,106,27,58,10,68,25,F,actor
idle_to_on_all_fours_idle_001__A334,idle_to_on_all_fours_idle_001__A334,735,Locomotion,Advanced Locomotion,1.0,False,soma_uniform/bvh/230418/idle_to_on_all_fours_idle_001__A334.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/230418/idle_to_on_all_fours_idle_001__A334.bvh,soma_shapes/soma_proportion_fit_mhr_params/A334.npz,g1/csv/230418/idle_to_on_all_fours_idle_001__A334.csv,idle_to_on_all_fours_idle_001,A334,idle_to_on_all_fours_idle_001,230418,_2,idle_to_on_all_fours_idle,the character transitions from standing to being on their hands and knees,move from standing to kneeling on hands and knees,person kneels on both hands and knees from a standing position,An upright person kneels down on the ground and transitions into a dog position.,"kneel on both knees, add both hands parallel on floor simultaneously, from standing to talent on hands and knees",from neutral position to dog position,idle to on all fours idle,neutral,neutral,transition,"standing, on all fours",1,1,0,0,0,A334,M,176,29,147,38,94,142,178,98,32,53,9,89,30,M,actor
on_all_fours_180_start_R_001__A035,mohak_start_001__A035,419,Locomotion,Advanced Locomotion,1.0,False,soma_uniform/bvh/220721/mohak_start_001__A035.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/220721/mohak_start_001__A035.bvh,soma_shapes/soma_proportion_fit_mhr_params/A035.npz,g1/csv/220721/mohak_start_001__A035.csv,on_all_fours_180_start_R_001,A035,mohak_start_001,220721,_1,on_all_fours_180_start_R,individual starts to move while positioned on all fours,"being in an all-fours position, person starts to move on hands and knees",person starts moving forward while on their hands and knees,A person is crawling forward by taking several steps at a steady pace.,"start right foot left hand adding, move forward, on hands and knees forward",the person is in a position on all fours and begins to move on knees and hands,on all fours 180 start,neutral,neutral,on hands and knees,"standing, on all fours",1,1,0,0,0,A035,T,198,30,168,38,106,160,200,113,33,59,12,145,43,M,general
crouch_ff_stop_270_R_001__A246,crouch_ff_stop_270_R_001__A246,939,Locomotion,Advanced Locomotion,1.0,False,soma_uniform/bvh/230306/crouch_ff_stop_270_R_001__A246.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/230306/crouch_ff_stop_270_R_001__A246.bvh,soma_shapes/soma_proportion_fit_mhr_params/A246.npz,g1/csv/230306/crouch_ff_stop_270_R_001__A246.csv,crouch_ff_stop_270_R_001,A246,crouch_ff_stop_270_R_001,230306,_1,crouch_ff_stop_270_R,crouching and walking to the right in a stealthy manner,stopping and crouching to the right,"person, crouched, moves to the right while facing forward",A person in a crouching stance walks sideways towards their right and then stays idle in the crouching stance.,"end left foot, move sideways, left foot back crossing, talent crouching, walking in crouch",stopping crouch facing forward directly to the right,crouch ff stop 270,neutral,neutral,walking,crouching,1,1,0,0,0,A246,T,177,27,149,30,97,139,178,106,27,58,10,68,25,F,actor
crouch_ff_stop_315_R_003__A198,crouch_ff_stop_315_R_003__A198,613,Locomotion,Advanced Locomotion,1.0,False,soma_uniform/bvh/230215/crouch_ff_stop_315_R_003__A198.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/230215/crouch_ff_stop_315_R_003__A198.bvh,soma_shapes/soma_proportion_fit_mhr_params/A198.npz,g1/csv/230215/crouch_ff_stop_315_R_003__A198.csv,crouch_ff_stop_315_R_003,A198,crouch_ff_stop_315_R_003,230215,_2,crouch_ff_stop_315_R,"someone retreats diagonally in a crouching posture, ending with the left foot",transition into a crouch while walking diagonally to the right,a crouched person moves backward diagonally to the right,A person in a crouched position moving sideways to the right back diagonal comes to a stop.,"end left foot, move backward diagonally, left foot back crossing, talent crouching, walking in crouch",stopping crouch facing forward diagonally down to the right,crouch ff stop 315,neutral,neutral,walking,crouching,1,1,0,0,0,A198,M,171,27,141,32,93,134,170,99,27,50,9,68,25,M,actor
safety_roll_315_L_007__A235,safety_roll_315_R_007__A235,692,Locomotion,Advanced Locomotion,1.0,False,soma_uniform/bvh/230302/safety_roll_315_R_007__A235.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/230302/safety_roll_315_R_007__A235.bvh,soma_shapes/soma_proportion_fit_mhr_params/A235.npz,g1/csv/230302/safety_roll_315_R_007__A235.csv,safety_roll_315_L_007,A235,safety_roll_315_R_007,230302,_1,safety_roll_315_L,"person tucks their right foot, rolls forward left diagonally","person performs a roll forward, moving diagonally to the left","person performs a forward roll to the left, tucking under the right shoulder",The person rolls back to the right back diagonal on the ground and then regains their stance.,"right foot tuck under, right shoulder, roll backward right diagonally",doing a roll forward left diagonally,safety roll 315,neutral,neutral,rolling,standing,1,1,safety pad,0,0,A235,M,174,24,145,31,97,136,173,103,28,53,9,65,28,F,actor
idle_vigilance_start_R_001__A500,idle_vigilance_start_R_001__A500,1835,Locomotion,Advanced Locomotion,1.0,False,soma_uniform/bvh/231110/idle_vigilance_start_R_001__A500.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/231110/idle_vigilance_start_R_001__A500.bvh,soma_shapes/soma_proportion_fit_mhr_params/A500.npz,g1/csv/231110/idle_vigilance_start_R_001__A500.csv,idle_vigilance_start_R_001,A500,idle_vigilance_start_R_001,231110,_1,idle_vigilance_start_R,"character begins to look around vigilantly, turning body into prepared position","person stays vigilant, turning their body into a prepared position while looking around","character vigilantly looks around, assuming a prepared body position",A person standing still and facing forward quickly looks back by turning over their right and left shoulders.,"beginning to look around vigilantly, turning body position to tense and ready","begins to look around vigilantly, turning body into prepared position",idle vigilance start,neutral,neutral,standing,"standing, leaning",0,0,0,0,0,A500,M,171,26,142,37,89,134,172,103,29,49,10,61,28,F,actor
avoid_bump_swear_R_001__A463,avoid_bump_swear_R_001__A463,1222,Locomotion,Advanced Locomotion,1.0,False,soma_uniform/bvh/231005/avoid_bump_swear_R_001__A463.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/231005/avoid_bump_swear_R_001__A463.bvh,soma_shapes/soma_proportion_fit_mhr_params/A463.npz,g1/csv/231005/avoid_bump_swear_R_001__A463.csv,avoid_bump_swear_R_001,A463,avoid_bump_swear_R_001,231005,_1,avoid_bump_swear_R,character tries to avoid bumping into someone and swears at person,trying to avoid bumping into someone and expressing frustration or anger towards person,"character tries to avoid bumping into someone, then swearing at person","A person walks forward, moves sideways to avoid bumping into someone, and raises their arms.","trying to avoid a bump with someone approaching, step right, step let, step right, then swear at them",tries to avoid bumping into someone and swears at person,avoid bump swear,neutral,neutral,walking,standing,1,0,0,0,0,A463,M,182,28,151,41,94,139,174,104,32,57,10,78,31,M,actor
on_all_fours_180_loop_R_103__A124,mohak_forward_loop_103__A124,724,Locomotion,Advanced Locomotion,1.0,False,soma_uniform/bvh/230118/mohak_forward_loop_103__A124.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/230118/mohak_forward_loop_103__A124.bvh,soma_shapes/soma_proportion_fit_mhr_params/A124.npz,g1/csv/230118/mohak_forward_loop_103__A124.csv,on_all_fours_180_loop_R_103,A124,mohak_forward_loop_103,230118,_3,on_all_fours_180_loop_R,individual crawls forward on hands and knees,the actor is moving forward on their hands and knees,the individual moves forward while on all fours,"A person is in a quadruped position, walking forward on all fours.","move forward, on hands and knees forward",the person is moving in a position on all fours,on all fours 180 loop,neutral,neutral,on hands and knees,on all fours,1,1,0,0,0,A124,M,175,26,147,30,96,137,180,102,29,53,8,64,28,F,actor
